step,scope,parent_section,section,level,mpi_avg_sec,mpi_max_sec,mpi_min_sec,thread_avg_sec,thread_max_sec,thread_min_sec,uniform_particle_count,ave_particle_count,var_particle_count,cov_particle_count
0,ensemble_generate_particles,ensemble_generate_particles_total,stat_histogram,1,0.009001375,0.00913,0.008881,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,omp_rejection,1,0.0252829062,0.025805,0.025027,0.0248279453,0.025793,0.020617,51791094,559070,637139,927029
0,ensemble_generate_particles,omp_rejection,rejection_thread_merge,2,0,0,1.79769313e+308,0.0004935625,0.001142,1.9e-05,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,cleanup_tfs,1,0.00015621875,0.000171,0.000145,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,output_coord_minmax,1,3.2375e-05,0.000985,1e-06,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,output_particles_ave,1,0.003827125,0.009601,0.001586,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,output_particles_var,1,0.242700219,3.497697,0.001224,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,output_particles_cov,1,0.883550406,3.497869,0.004546,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,output_history,1,0.551572875,6.159084,3.4e-05,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,cleanup_cells,1,9.765625e-05,0.00012,8.8e-05,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,write_tf_file,1,0.000148375,0.004748,0.004748,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,async_io_wait,1,0.205408781,4.194826,1.1e-05,0,0,1.79769313e+308,51791094,559070,637139,927029
0,ensemble_generate_particles,ensemble_generate_particles_total,final_barrier_state,1,8.47890366,10.356526,2.8e-05,0,0,1.79769313e+308,51791094,559070,637139,927029
step,scope,parent_section,section,level,mpi_avg_sec,mpi_max_sec,mpi_min_sec,thread_avg_sec,thread_max_sec,thread_min_sec,uniform_particle_count,ave_particle_count,var_particle_count,cov_particle_count
0,ensemble_generate_particles,root,ensemble_generate_particles_total,0,12.7294041,12.731918,12.706902,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,set_parameter_path,1,0.348032528,2.944986,0.000442,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,read_parameter_file,1,2.59811997,2.947732,0.001725,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,init_transfer_functions,1,0.000504611111,0.000535,0.000494,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,create_cells,1,0.000460944444,0.000586,0.000127,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,sampling_prepare,1,2.5e-06,3e-06,2e-06,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,omp_uniform_sampling,1,0.330994778,0.333676,0.327526,0.200203796,0.331408,0.114111,51794979,620666,672195,987321
0,ensemble_generate_particles,omp_uniform_sampling,uniform_thread_setup,2,0,0,1.79769313e+308,0.000139986111,0.000644,1.9e-05,51794979,620666,672195,987321
0,ensemble_generate_particles,omp_uniform_sampling,uniform_cell_index_setup,2,0,0,1.79769313e+308,0.000101768519,0.000137,7.1e-05,51794979,620666,672195,987321
0,ensemble_generate_particles,omp_uniform_sampling,uniform_bind_cell_array,2,0,0,1.79769313e+308,0.0155358194,0.016111,0.015197,51794979,620666,672195,987321
0,ensemble_generate_particles,omp_uniform_sampling,uniform_volume_calculation,2,0,0,1.79769313e+308,0.0168639491,0.019449,0.016496,51794979,620666,672195,987321
0,ensemble_generate_particles,omp_uniform_sampling,uniform_particle_count_calculation,2,0,0,1.79769313e+308,0.00315535417,0.003799,0.003054,51794979,620666,672195,987321
0,ensemble_generate_particles,omp_uniform_sampling,uniform_particle_sampling_loop,2,0,0,1.79769313e+308,0.07508025,0.076652,0.072098,51794979,620666,672195,987321
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_local_coord_generation,3,0,0,1.79769313e+308,0.00553196296,0.006184,0.005312,51794979,620666,672195,987321
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_flush_prepare,3,0,0,1.79769313e+308,0.00826215972,0.008659,0.008025,51794979,620666,672195,987321
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_calculate_scalars_array,3,0,0,1.79769313e+308,0.0459036366,0.047756,0.044733,51794979,620666,672195,987321
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_store_particle_data,3,0,0,1.79769313e+308,0.0093824537,0.010627,0.006853,51794979,620666,672195,987321
0,ensemble_generate_particles,omp_uniform_sampling,thread_particle_merge,2,0,0,1.79769313e+308,0.0884257384,0.219827,0.003411,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,mpi_shift_exchange,1,0.720631972,0.728678,0.716323,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,mpi_shift_exchange,mpi_shift_size_exchange,2,0.00580122222,0.018457,0.000224,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,mpi_shift_exchange,mpi_shift_alloc_recv_buffer,2,0.116071111,0.123392,0.108839,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,mpi_shift_exchange,mpi_shift_payload_all,2,0.153893306,0.161343,0.146049,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,mpi_shift_exchange,omp_shift_interpolation,2,0.444771028,0.447613,0.443515,0.444609329,0.447465,0.443314,51794979,620666,672195,987321
0,ensemble_generate_particles,omp_shift_interpolation,shift_calculate_scalars_array,3,0,0,1.79769313e+308,0.358291495,0.36119,0.356177,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,stat_average_variance,1,0.0131865556,0.013823,0.012675,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,stat_histogram,1,0.00870283333,0.008897,0.008553,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,omp_rejection,1,0.0228266111,0.023405,0.02265,0.0223765833,0.023397,0.021806,51794979,620666,672195,987321
0,ensemble_generate_particles,omp_rejection,rejection_thread_merge,2,0,0,1.79769313e+308,0.000454800926,0.001011,2.7e-05,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,cleanup_tfs,1,0.000154361111,0.000167,0.000139,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,output_coord_minmax,1,3.94722222e-05,0.001356,1e-06,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,output_particles_ave,1,0.00620919444,0.010315,0.000514,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,output_particles_var,1,0.259992361,3.735516,0.001185,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,output_particles_cov,1,0.989024639,3.735706,0.004419,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,output_history,1,0.476100861,6.498469,3.5e-05,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,cleanup_cells,1,9.84722222e-05,0.000112,8.9e-05,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,write_tf_file,1,0.0259936111,0.93577,0.93577,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,async_io_wait,1,0.231800667,3.390859,1.1e-05,0,0,1.79769313e+308,51794979,620666,672195,987321
0,ensemble_generate_particles,ensemble_generate_particles_total,final_barrier_state,1,6.69176456,8.66834,3.9e-05,0,0,1.79769313e+308,51794979,620666,672195,987321
step,scope,parent_section,section,level,mpi_avg_sec,mpi_max_sec,mpi_min_sec,thread_avg_sec,thread_max_sec,thread_min_sec,uniform_particle_count,ave_particle_count,var_particle_count,cov_particle_count
0,ensemble_generate_particles,root,ensemble_generate_particles_total,0,15.0815792,15.087005,15.053634,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,set_parameter_path,1,0.449668722,2.904378,0.000274,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,read_parameter_file,1,2.45173564,2.903241,0.002263,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,init_transfer_functions,1,0.000514111111,0.000605,0.000494,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,create_cells,1,0.000425777778,0.00063,0.000128,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,sampling_prepare,1,3.22222222e-06,1.9e-05,2e-06,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,omp_uniform_sampling,1,0.331063778,0.333272,0.327788,0.200442456,0.3312,0.114214,51795075,621900,671521,986570
0,ensemble_generate_particles,omp_uniform_sampling,uniform_thread_setup,2,0,0,1.79769313e+308,0.000140511574,0.000519,1.6e-05,51795075,621900,671521,986570
0,ensemble_generate_particles,omp_uniform_sampling,uniform_cell_index_setup,2,0,0,1.79769313e+308,0.000100972222,0.000137,7.4e-05,51795075,621900,671521,986570
0,ensemble_generate_particles,omp_uniform_sampling,uniform_bind_cell_array,2,0,0,1.79769313e+308,0.0155392569,0.016263,0.01507,51795075,621900,671521,986570
0,ensemble_generate_particles,omp_uniform_sampling,uniform_volume_calculation,2,0,0,1.79769313e+308,0.0169320046,0.021828,0.016435,51795075,621900,671521,986570
